tourney_year_id,tourney_order,tourney_slug,tourney_url_suffix,tourney_round_name,round_order,match_order,winner_name,winner_player_id,winner_slug,loser_name,loser_player_id,loser_slug,winner_seed,loser_seed,match_score_tiebreaks,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,match_id,match_stats_url_suffix
2017-540,40,wimbledon,/en/scores/archive/wimbledon/540/2017/results,Finals,1,1,Roger Federer,f324,roger-federer,Marin Cilic,c977,marin-cilic,3,7,63 61 64,3,0,18,8,0,0,2017-540-f324-c977,/en/scores/2017/540/MS001/match-stats
2017-540,40,wimbledon,/en/scores/archive/wimbledon/540/2017/results,Semi-Finals,2,1,Roger Federer,f324,roger-federer,Tomas Berdych,ba47,tomas-berdych,3,11,76(4) 76(4) 64,3,0,20,16,2,0,2017-540-f324-ba47,/en/scores/2017/540/MS003/match-stats
2017-540,40,wimbledon,/en/scores/archive/wimbledon/540/2017/results,Semi-Finals,2,2,Marin Cilic,c977,marin-cilic,Sam Querrey,q927,sam-querrey,7,24,67(6) 64 76(3) 75,3,1,26,22,1,1,2017-540-c977-q927,/en/scores/2017/540/MS002/match-stats
2017-540,40,wimbledon,/en/scores/archive/wimbledon/540/2017/results,Quarter-Finals,3,1,Sam Querrey,q927,sam-querrey,Andy Murray,mc10,andy-murray,24,1,36 64 67(4) 61 61,3,2,27,19,0,1,2017-540-q927-mc10,/en/scores/2017/540/MS004/match-stats
2017-540,40,wimbledon,/en/scores/archive/wimbledon/540/2017/results,Quarter-Finals,3,2,Tomas Berdych,ba47,tomas-berdych,Novak Djokovic,d643,novak-djokovic,11,2,76(2) 20 (RET),2,0,9,6,1,0,2017-540-ba47-d643,/en/scores/2017/540/MS007/match-stats
2017-540,40,wimbledon,/en/scores/archive/wimbledon/540/2017/results,Quarter-Finals,3,3,Roger Federer,f324,roger-federer,Milos Raonic,r975,milos-raonic,3,6,64 62 76(4),3,0,19,12,1,0,2017-540-f324-r975,/en/scores/2017/540/MS006/match-stats
2017-540,40,wimbledon,/en/scores/archive/wimbledon/540/2017/results,Quarter-Finals,3,4,Marin Cilic,c977,marin-cilic,Gilles Muller,ma30,gilles-muller,7,16,36 76(6) 75 57 61,3,2,28,25,1,0,2017-540-c977-ma30,/en/scores/2017/540/MS005/match-stats
2017-540,40,wimbledon,/en/scores/archive/wimbledon/540/2017/results,Round of 16,4,1,Andy Murray,mc10,andy-murray,Benoit Paire,pd31,benoit-paire,1,,76(1) 64 64,3,0,19,14,1,0,2017-540-mc10-pd31,/en/scores/2017/540/MS008/match-stats
2017-540,40,wimbledon,/en/scores/archive/wimbledon/540/2017/results,Round of 16,4,2,Novak Djokovic,d643,novak-djokovic,Adrian Mannarino,me82,adrian-mannarino,2,,62 76(5) 64,3,0,19,12,1,0,2017-540-d643-me82,/en/scores/2017/540/MS015/match-stats
2017-540,40,wimbledon,/en/scores/archive/wimbledon/540/2017/results,Round of 16,4,3,Roger Federer,f324,roger-federer,Grigor Dimitrov,d875,grigor-dimitrov,3,13,64 62 64,3,0,18,10,0,0,2017-540-f324-d875,/en/scores/2017/540/MS013/match-stats
2017-540,40,wimbledon,/en/scores/archive/wimbledon/540/2017/results,Round of 16,4,4,Gilles Muller,ma30,gilles-muller,Rafael Nadal,n409,rafael-nadal,16,4,63 64 36 46 1513,2,2,19,19,0,0,2017-540-ma30-n409,/en/scores/2017/540/MS010/match-stats
2017-540,40,wimbledon,/en/scores/archive/wimbledon/540/2017/results,Round of 16,4,5,Milos Raonic,r975,milos-raonic,Alexander Zverev,z355,alexander-zverev,6,10,46 75 46 75 61,3,2,28,23,0,0,2017-540-r975-z355,/en/scores/2017/540/MS012/match-stats
2017-540,40,wimbledon,/en/scores/archive/wimbledon/540/2017/results,Round of 16,4,6,Marin Cilic,c977,marin-cilic,Roberto Bautista Agut,bd06,roberto-bautista-agut,7,18,62 62 62,3,0,18,6,0,0,2017-540-c977-bd06,/en/scores/2017/540/MS011/match-stats
2017-540,40,wimbledon,/en/scores/archive/wimbledon/540/2017/results,Round of 16,4,7,Tomas Berdych,ba47,tomas-berdych,Dominic Thiem,tb69,dominic-thiem,11,8,63 67(1) 63 36 63,3,2,27,22,0,1,2017-540-ba47-tb69,/en/scores/2017/540/MS014/match-stats
2017-540,40,wimbledon,/en/scores/archive/wimbledon/540/2017/results,Round of 16,4,8,Sam Querrey,q927,sam-querrey,Kevin Anderson,a678,kevin-anderson,24,,57 76(5) 63 67(11) 63,3,2,30,26,1,1,2017-540-q927-a678,/en/scores/2017/540/MS009/match-stats
2017-540,40,wimbledon,/en/scores/archive/wimbledon/540/2017/results,Round of 32,5,1,Andy Murray,mc10,andy-murray,Fabio Fognini,f510,fabio-fognini,1,28,62 46 61 75,3,1,23,14,0,0,2017-540-mc10-f510,/en/scores/2017/540/MS016/match-stats
2017-540,40,wimbledon,/en/scores/archive/wimbledon/540/2017/results,Round of 32,5,2,Novak Djokovic,d643,novak-djokovic,Ernests Gulbis,g858,ernests-gulbis,2,PR,64 61 76(2),3,0,19,11,1,0,2017-540-d643-g858,/en/scores/2017/540/MS031/match-stats
2017-540,40,wimbledon,/en/scores/archive/wimbledon/540/2017/results,Round of 32,5,3,Roger Federer,f324,roger-federer,Mischa Zverev,z168,mischa-zverev,3,27,76(3) 64 64,3,0,19,14,1,0,2017-540-f324-z168,/en/scores/2017/540/MS027/match-stats
2017-540,40,wimbledon,/en/scores/archive/wimbledon/540/2017/results,Round of 32,5,4,Rafael Nadal,n409,rafael-nadal,Karen Khachanov,ke29,karen-khachanov,4,30,61 64 76(3),3,0,19,11,1,0,2017-540-n409-ke29,/en/scores/2017/540/MS020/match-stats
2017-540,40,wimbledon,/en/scores/archive/wimbledon/540/2017/results,Round of 32,5,5,Milos Raonic,r975,milos-raonic,Albert Ramos-Vinolas,r772,albert-ramos-vinolas,6,25,76(3) 64 75,3,0,20,15,1,0,2017-540-r975-r772,/en/scores/2017/540/MS024/match-stats
2017-540,40,wimbledon,/en/scores/archive/wimbledon/540/2017/results,Round of 32,5,6,Marin Cilic,c977,marin-cilic,Steve Johnson,j386,steve-johnson,7,26,64 76(3) 64,3,0,19,14,1,0,2017-540-c977-j386,/en/scores/2017/540/MS023/match-stats
