tourney_order,match_id,match_stats_url_suffix,match_time,match_duration,winner_aces,winner_double_faults,winner_first_serves_in,winner_first_serves_total,winner_first_serve_points_won,winner_first_serve_points_total,winner_second_serve_points_won,winner_second_serve_points_total,winner_break_points_saved,winner_break_points_serve_total,winner_service_points_won,winner_service_points_total,winner_first_serve_return_won,winner_first_serve_return_total,winner_second_serve_return_won,winner_second_serve_return_total,winner_break_points_converted,winner_break_points_return_total,winner_service_games_played,winner_return_games_played,winner_return_points_won,winner_return_points_total,winner_total_points_won,winner_total_points_total,loser_aces,loser_double_faults,loser_first_serves_in,loser_first_serves_total,loser_first_serve_points_won,loser_first_serve_points_total,loser_second_serve_points_won,loser_second_serve_points_total,loser_break_points_saved,loser_break_points_serve_total,loser_service_points_won,loser_service_points_total,loser_first_serve_return_won,loser_first_serve_return_total,loser_second_serve_return_won,loser_second_serve_return_total,loser_break_points_converted,loser_break_points_return_total,loser_service_games_played,loser_return_games_played,loser_return_points_won,loser_return_points_total,loser_total_points_won,loser_total_points_total
39,2017-540-f324-c977,/en/scores/2017/540/MS001/match-stats,01:41:00,101,8,2,53,70,43,53,12,17,1,1,55,70,19,54,22,36,5,10,13,13,41,90,96,160,5,3,54,90,35,54,14,36,5,10,49,90,10,53,5,17,0,1,13,13,15,70,64,160
39,2017-540-q927-mc10,/en/scores/2017/540/MS004/match-stats,02:42:00,162,27,2,74,116,62,74,23,42,4,7,85,116,22,82,30,50,8,12,22,23,52,132,137,248,8,2,82,132,60,82,20,50,4,12,80,132,12,74,19,42,3,7,23,22,31,116,111,248
39,2017-540-c977-q927,/en/scores/2017/540/MS002/match-stats,02:56:00,176,25,1,78,120,69,78,28,42,1,3,97,120,25,97,28,54,4,14,23,23,53,151,150,271,13,3,97,151,72,97,26,54,10,14,98,151,9,78,14,42,2,3,23,23,23,120,121,271
39,2017-540-f324-ba47,/en/scores/2017/540/MS003/match-stats,02:18:00,138,13,4,70,105,59,70,21,35,5,6,80,105,25,79,21,49,2,9,17,17,46,128,126,233,9,0,79,128,54,79,28,49,7,9,82,128,11,70,14,35,1,6,17,17,25,105,107,233
39,2017-540-ba47-d643,/en/scores/2017/540/MS007/match-stats,01:03:00,63,1,1,27,46,25,27,10,19,0,0,35,46,14,39,4,8,1,1,7,7,18,47,53,93,1,0,39,47,25,39,4,8,0,1,29,47,2,27,9,19,0,0,7,7,11,46,40,93
39,2017-540-c977-ma30,/en/scores/2017/540/MS005/match-stats,03:30:00,210,33,9,102,157,86,102,26,55,4,7,112,157,19,95,24,50,3,10,27,25,43,145,155,302,17,7,95,145,76,95,26,50,7,10,102,145,16,102,29,55,3,7,25,27,45,157,147,302
39,2017-540-f324-r975,/en/scores/2017/540/MS006/match-stats,01:58:00,118,11,2,61,89,55,61,15,28,5,5,70,89,20,70,15,26,3,6,15,15,35,96,105,185,11,0,70,96,50,70,11,26,3,6,61,96,6,61,13,28,0,5,15,15,19,89,80,185
39,2017-540-mc10-pd31,/en/scores/2017/540/MS008/match-stats,02:21:00,141,4,0,70,99,47,70,20,29,8,11,67,99,23,66,32,57,5,16,16,16,55,123,122,222,9,10,66,123,43,66,25,57,11,16,68,123,23,70,9,29,3,11,16,16,32,99,100,222
39,2017-540-d643-me82,/en/scores/2017/540/MS015/match-stats,02:15:00,135,4,2,69,93,49,69,16,24,1,2,65,93,28,71,15,31,4,10,15,15,43,102,108,195,2,1,71,102,43,71,16,31,6,10,59,102,20,69,8,24,1,2,15,15,28,93,87,195
39,2017-540-ma30-n409,/en/scores/2017/540/MS010/match-stats,04:48:00,288,30,10,133,212,106,133,38,79,14,16,144,212,24,119,23,58,3,8,33,33,47,177,191,389,23,2,119,177,95,119,35,58,5,8,130,177,27,133,41,79,2,16,33,33,68,212,198,389
